,pc,returns,malfs
0,1.0,-0.12066326530612245,4
1,1.0,-0.14017857142857143,2
2,0.0,-1.0,12
3,1.0,-0.06377551020408163,1
4,1.0,-0.10982142857142857,3
5,1.0,-0.0875,1
6,1.0,-0.11594387755102041,2
7,1.0,-0.10790816326530613,0
8,1.0,-0.09005102040816326,4
9,1.0,-0.0645751953125,2
10,0.5,-0.5503826530612245,12
11,1.0,-0.20548469387755103,7
12,1.0,-0.11772959183673469,1
13,1.0,-0.1818877551020408,0
14,1.0,-0.11709183673469388,1
15,1.0,-0.10994897959183673,0
16,1.0,-0.11377551020408164,3
17,1.0,-0.16568877551020408,0
18,1.0,-0.1556122448979592,5
19,1.0,-0.27653061224489794,5
20,1.0,-0.11607142857142858,2
21,1.0,-0.3368622448979592,4
22,1.0,-0.11122448979591837,1
23,1.0,-0.09400510204081633,2
24,1.0,-0.11505102040816327,3
25,1.0,-0.10612244897959183,1
26,1.0,-0.12232142857142857,2
27,1.0,-0.08622448979591837,2
28,1.0,-0.20714285714285716,1
29,1.0,-0.1082908163265306,2
30,1.0,-0.18762755102040815,4
31,1.0,-0.058418367346938775,1
32,1.0,-0.08762755102040816,0
33,1.0,-0.11084183673469387,0
34,1.0,-0.09451530612244897,2
35,1.0,-0.1913265306122449,2
36,0.3125,-0.7172193877551021,9
37,0.75,-0.3427295918367347,16
38,1.0,-0.19834183673469388,3
39,1.0,-0.11096938775510204,3
40,0.6875,-0.5292091836734694,5
41,1.0,-0.11568877551020408,1
42,1.0,-0.06836734693877551,2
43,1.0,-0.12385204081632653,4
44,1.0,-0.11122448979591837,0
45,1.0,-0.2058673469387755,3
46,1.0,-0.15510204081632653,4
47,1.0,-0.1378826530612245,4
48,1.0,-0.125765306122449,2
49,1.0,-0.11160714285714286,0
50,1.0,-0.10127551020408163,0
51,1.0,-0.08520408163265306,0
52,1.0,-0.1375,5
53,1.0,-0.05765306122448979,1
54,1.0,-0.1326530612244898,3
55,1.0,-0.14170918367346938,0
56,1.0,-0.1271683673469388,1
57,1.0,-0.2021484375,4
58,1.0,-0.10956632653061224,0
59,1.0,-0.07155612244897959,1
60,0.6875,-0.41237244897959185,7
61,1.0,-0.08775510204081632,0
62,1.0,-0.1364795918367347,3
63,1.0,-0.06005859375,0
64,0.3125,-0.7090561224489796,4
65,1.0,-0.061479591836734696,0
66,1.0,-0.08329081632653061,0
67,1.0,-0.048095703125,0
68,1.0,-0.14145408163265305,3
69,1.0,-0.21977040816326532,5
70,1.0,-0.119140625,2
71,1.0,-0.07971938775510204,2
72,1.0,-0.06721938775510204,0
73,1.0,-0.11479591836734694,1
74,1.0,-0.09005102040816326,0
75,1.0,-0.2524234693877551,0
76,1.0,-0.11964285714285715,0
77,1.0,-0.10586734693877552,2
78,0.125,-0.8844387755102041,11
79,1.0,-0.10943877551020408,0
80,1.0,-0.20191326530612244,6
81,1.0,-0.2406887755102041,3
82,1.0,-0.18724489795918367,0
83,1.0,-0.13418367346938775,3
84,1.0,-0.09119897959183673,0
85,1.0,-0.10114795918367347,2
86,1.0,-0.15510204081632653,2
87,0.0625,-0.9393310546875,12
88,1.0,-0.0718994140625,0
89,1.0,-0.10548469387755102,3
90,1.0,-0.10816326530612246,2
91,1.0,-0.12079081632653062,5
92,0.75,-0.3433837890625,10
93,0.25,-0.8146683673469388,9
94,1.0,-0.12831632653061226,0
95,0.75,-0.3113520408163265,10
96,1.0,-0.09540816326530613,2
97,1.0,-0.11798469387755102,1
98,1.0,-0.10369897959183673,0
99,1.0,-0.1217041015625,3
100,1.0,-0.11466836734693878,1
101,1.0,-0.09591836734693877,5
102,1.0,-0.06709183673469388,1
103,1.0,-0.14234693877551022,2
