,pc,returns,malfs
0,1.0,-0.2179904513888889,10
1,1.0,-0.40771566164154105,17
2,1.0,-0.20491536458333334,6
3,1.0,-0.19883897569444445,8
4,1.0,-0.114321608040201,6
5,0.59375,-0.4635959201388889,10
6,0.21875,-0.8005642361111112,17
7,1.0,-0.2209743923611111,4
8,0.40625,-0.6271701388888888,22
9,1.0,-0.2214084201388889,9
10,1.0,-0.1689453125,3
11,1.0,-0.2591688368055556,12
12,1.0,-0.2529296875,9
13,1.0,-0.3041449652777778,6
14,1.0,-0.24527994791666666,14
15,0.6875,-0.4647894965277778,18
16,1.0,-0.19417317708333334,5
17,0.1875,-0.8308376736111112,18
18,1.0,-0.17024739583333334,6
19,1.0,-0.23502604166666666,14
20,1.0,-0.2079535590277778,7
21,1.0,-0.3084852430555556,20
22,1.0,-0.3012152777777778,9
23,1.0,-0.19080946180555555,12
24,1.0,-0.3706597222222222,12
25,1.0,-0.2230902777777778,12
26,1.0,-0.3440755208333333,22
27,1.0,-0.4895290798611111,16
28,1.0,-0.23160807291666666,7
29,1.0,-0.3400065104166667,23
30,1.0,-0.2666015625,5
31,0.125,-0.8832465277777778,14
32,1.0,-0.2640516493055556,8
33,0.1875,-0.8349609375,19
34,0.25,-0.7689887152777778,18
35,1.0,-0.3014322916666667,11
36,0.09375,-0.9131401909722222,20
37,1.0,-0.3123372395833333,12
38,1.0,-0.2424045138888889,14
39,1.0,-0.19911024305555555,6
40,1.0,-0.46826171875,18
41,1.0,-0.3493381076388889,18
42,1.0,-0.22325303819444445,9
43,1.0,-0.16075303819444445,7
44,1.0,-0.2865668402777778,17
45,1.0,-0.21864149305555555,9
46,1.0,-0.22721354166666666,12
47,0.34375,-0.6882595486111112,19
48,0.15625,-0.8546006944444444,16
49,1.0,-0.1616753472222222,8
50,1.0,-0.16563585069444445,2
51,0.25,-0.7680121527777778,20
52,1.0,-0.2802191840277778,9
53,1.0,-0.20133463541666666,6
54,1.0,-0.3608940972222222,8
55,1.0,-0.2741970486111111,21
56,1.0,-0.3522677951388889,12
57,1.0,-0.4449869791666667,20
58,1.0,-0.14903428819444445,4
59,0.0625,-0.9406467013888888,14
60,1.0,-0.2819552951388889,13
61,1.0,-0.3347981770833333,16
