,pc,returns,malfs
0,0.3125,-0.7029336734693877,4
1,0.5625,-0.47831632653061223,11
2,0.625,-0.41875,7
3,0.375,-0.6605867346938775,7
4,0.0625,-0.9400510204081632,7
5,0.375,-0.6455357142857143,10
6,0.3125,-0.7056122448979592,10
7,0.4375,-0.6174744897959183,11
8,1.0,-0.10293367346938775,1
9,0.25,-0.759033203125,6
10,1.0,-0.08903061224489796,2
11,0.0625,-0.9411989795918367,5
12,0.125,-0.8850765306122449,7
13,0.4375,-0.5892857142857143,7
14,0.1875,-0.8279336734693877,4
15,0.5,-0.5419921875,7
16,0.4375,-0.605224609375,7
17,0.375,-0.6821428571428572,8
18,0.0,-1.0,10
19,0.1875,-0.8251275510204081,8
20,0.625,-0.4177295918367347,8
21,0.4375,-0.5844387755102041,6
22,0.5,-0.5496173469387755,3
23,0.75,-0.31887755102040816,8
24,0.0625,-0.945280612244898,9
25,1.0,-0.10331632653061225,0
26,0.5,-0.5298469387755103,6
27,0.9375,-0.12959183673469388,9
28,0.0,-1.0,7
29,0.1875,-0.823469387755102,8
30,0.9375,-0.14183673469387756,10
31,0.375,-0.6478316326530612,17
32,0.6875,-0.38992346938775513,11
33,0.5625,-0.48227040816326533,12
34,0.8125,-0.29285714285714287,5
35,0.3125,-0.7181122448979592,12
36,0.125,-0.8820153061224489,12
37,0.6875,-0.3971938775510204,4
38,0.6875,-0.3691326530612245,11
39,0.8125,-0.31619897959183674,5
40,0.625,-0.4014030612244898,4
41,0.5625,-0.4818877551020408,11
42,0.375,-0.6480867346938776,6
43,0.1875,-0.8209183673469388,5
44,1.0,-0.08762755102040816,1
45,0.375,-0.6485969387755102,6
46,0.25,-0.7697704081632653,7
47,0.625,-0.42130102040816325,7
48,0.8125,-0.2785714285714286,5
49,0.5,-0.5718112244897959,5
50,0.375,-0.6579081632653061,5
51,0.0,-1.0,7
52,0.0625,-0.9411989795918367,7
53,0.4375,-0.5955357142857143,4
54,0.4375,-0.585969387755102,3
55,0.375,-0.6529336734693878,10
56,1.0,-0.11135204081632653,5
57,0.5,-0.5295918367346939,6
58,0.4375,-0.5881377551020408,4
59,0.4375,-0.6094387755102041,8
60,0.5,-0.5308673469387755,5
61,0.75,-0.32002551020408165,8
62,0.0625,-0.9404336734693878,9
63,0.625,-0.4275510204081633,12
64,0.6875,-0.3664540816326531,10
65,0.625,-0.44693877551020406,4
66,0.5,-0.5739795918367347,12
67,1.0,-0.08176020408163265,2
68,0.75,-0.3485969387755102,5
69,0.25,-0.7650510204081633,8
70,0.25,-0.767219387755102,6
71,0.375,-0.6474489795918368,5
72,1.0,-0.08673469387755102,2
73,0.0625,-0.9409438775510204,9
74,0.25,-0.7659438775510204,8
75,0.9375,-0.14119897959183675,10
76,0.25,-0.7622448979591837,5
77,0.25,-0.7665816326530612,6
78,1.0,-0.047119140625,0
79,1.0,-0.11313775510204081,3
80,0.3125,-0.7019132653061224,17
81,0.25,-0.7651785714285714,8
82,0.625,-0.4292091836734694,8
83,0.8125,-0.4034438775510204,5
84,0.3125,-0.7223214285714286,9
85,0.0,-1.0,5
86,1.0,-0.10892857142857143,1
87,0.125,-0.8790816326530613,6
88,0.625,-0.41581632653061223,6
89,0.125,-0.8793367346938775,7
90,0.75,-0.3406887755102041,7
91,1.0,-0.057373046875,1
92,0.875,-0.1917091836734694,4
93,0.8125,-0.2548469387755102,2
94,0.375,-0.6584183673469388,6
95,0.375,-0.6526785714285714,10
96,0.6875,-0.3667091836734694,8
97,0.125,-0.8843112244897959,9
98,0.5625,-0.49783163265306124,9
99,0.5625,-0.4998724489795918,11
100,1.0,-0.13201530612244897,6
101,0.25,-0.7619897959183674,9
102,0.0625,-0.940561224489796,7
103,0.5,-0.5283163265306122,7
104,0.5625,-0.4954081632653061,10
105,0.25,-0.8139030612244897,5
106,0.625,-0.4373724489795918,9
107,0.0,-1.0,12
108,0.6875,-0.3723214285714286,14
109,0.0,-1.0,7
110,0.0625,-0.9423469387755102,10
111,0.1875,-0.8301020408163265,6
112,0.3125,-0.7125,8
113,0.375,-0.6793212890625,13
114,0.1875,-0.8243622448979592,9
115,0.8125,-0.27308673469387756,9
116,0.0,-1.0,7
117,0.125,-0.8821428571428571,6
118,0.125,-0.8843112244897959,8
119,0.25,-0.7709183673469387,10
120,0.0625,-0.940561224489796,7
121,0.25,-0.7701530612244898,15
122,1.0,-0.0913265306122449,0
123,0.1875,-0.8270408163265306,7
124,0.125,-0.8863520408163266,5
125,0.6875,-0.39540816326530615,3
126,0.0625,-0.9403061224489796,6
127,0.5625,-0.4686279296875,13
128,0.0,-1.0,4
129,0.4375,-0.5940051020408164,11
130,0.5625,-0.46951530612244896,10
131,0.6875,-0.3808673469387755,12
132,0.9375,-0.14540816326530612,6
133,0.5,-0.5461734693877551,5
134,0.4375,-0.5863520408163265,6
135,0.25,-0.7696428571428572,9
136,0.75,-0.30778061224489794,11
137,0.4375,-0.5897959183673469,6
138,0.8125,-0.25752551020408165,5
139,0.3125,-0.716454081632653,8
140,0.4375,-0.5881377551020408,7
141,0.1875,-0.8224489795918367,6
142,0.3125,-0.7061224489795919,9
143,0.875,-0.19630102040816327,9
144,0.0,-1.0,4
145,0.1875,-0.8247448979591837,7
146,0.375,-0.6557397959183674,7
147,0.0625,-0.9404336734693878,11
148,0.0,-1.0,8
149,0.1875,-0.8204081632653061,8
150,0.3125,-0.7139030612244898,6
151,0.3125,-0.7176020408163265,11
152,0.375,-0.6535714285714286,5
153,0.0625,-0.9403061224489796,10
154,1.0,-0.14400510204081632,1
155,0.6875,-0.35586734693877553,4
156,0.0625,-0.9408163265306122,10
157,0.75,-0.3122448979591837,4
158,1.0,-0.13392857142857142,1
159,0.3125,-0.7487244897959183,14
160,0.0,-1.0,9
161,0.1875,-0.8332908163265306,7
162,0.25,-0.7661989795918367,4
163,0.0625,-0.9998724489795918,9
